epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.6838,1.15294,2.51521,1.59406,0.52001,0.53578,0.45352,0.2078,1.02831,77.0225,1.595,0.000474118,0.000474118,0.000474118
2,136.152,1.26726,1.87955,1.65989,0.46594,0.4372,0.35959,0.15775,1.11918,16.4151,1.65334,0.000941042,0.000941042,0.000941042
3,188.879,1.3516,1.74231,1.73015,0.47615,0.4461,0.40811,0.18814,1.1775,13.2779,1.67228,0.00139853,0.00139853,0.00139853
4,241.599,1.35168,1.61391,1.73738,0.35401,0.41155,0.30248,0.12833,1.24813,20.95,1.61942,0.00138656,0.00138656,0.00138656
5,294.239,1.28066,1.45279,1.67394,0.60831,0.60935,0.60148,0.33217,0.98966,5.50187,1.48255,0.00137241,0.00137241,0.00137241
6,346.613,1.25294,1.38588,1.64317,0.63253,0.6186,0.6268,0.35302,0.97467,4.12106,1.44252,0.00135826,0.00135826,0.00135826
7,399.033,1.20881,1.33088,1.6046,0.68763,0.70722,0.73156,0.44915,0.88744,8.45785,1.42725,0.00134412,0.00134412,0.00134412
8,451.17,1.19131,1.30329,1.60126,0.58697,0.62364,0.64593,0.41595,0.83193,19.2806,1.33423,0.00132997,0.00132997,0.00132997
9,502.918,1.16544,1.24553,1.57125,0.49089,0.62423,0.54393,0.33128,0.8584,17.71,1.3054,0.00131582,0.00131582,0.00131582
10,554.497,1.15081,1.20906,1.56392,0.7402,0.71219,0.75751,0.51447,0.77994,22.0698,1.22507,0.00130168,0.00130168,0.00130168
11,606.48,1.16557,1.15202,1.56009,0.74547,0.73308,0.78394,0.51728,0.79046,6.35785,1.22772,0.00128753,0.00128753,0.00128753
12,660.012,1.13077,1.15169,1.54485,0.62096,0.66479,0.66265,0.3974,0.89269,8.6304,1.31983,0.00127338,0.00127338,0.00127338
13,712.251,1.14767,1.15378,1.54917,0.7948,0.76808,0.82033,0.54682,0.7593,9.68797,1.19867,0.00125923,0.00125923,0.00125923
14,764.573,1.1186,1.13384,1.53863,0.72893,0.74394,0.7965,0.5465,0.75096,24.2018,1.18122,0.00124509,0.00124509,0.00124509
15,816.795,1.12641,1.08214,1.53512,0.72876,0.76912,0.81976,0.56998,0.73514,6.04303,1.16163,0.00123094,0.00123094,0.00123094
16,868.751,1.10088,1.07606,1.5073,0.73189,0.725,0.78159,0.52847,0.73717,5.73186,1.17895,0.00121679,0.00121679,0.00121679
17,921.913,1.08265,1.08487,1.49307,0.82068,0.8066,0.84428,0.59913,0.71935,15.458,1.16394,0.00120265,0.00120265,0.00120265
18,974.047,1.07256,1.05418,1.49292,0.8034,0.79905,0.85679,0.59416,0.72562,5.11685,1.16262,0.0011885,0.0011885,0.0011885
19,1026.13,1.07554,1.00961,1.49398,0.75005,0.80634,0.80358,0.54518,0.74304,24.6351,1.17389,0.00117435,0.00117435,0.00117435
20,1078.22,1.0616,1.00197,1.49266,0.78541,0.77546,0.8149,0.58342,0.71099,25.7752,1.14157,0.00116021,0.00116021,0.00116021
21,1130.4,1.07644,0.98456,1.4916,0.81252,0.81553,0.85235,0.60774,0.69192,22.0049,1.11656,0.00114606,0.00114606,0.00114606
22,1182.51,1.06175,0.98507,1.47659,0.79444,0.80786,0.83688,0.59396,0.70202,12.0228,1.12063,0.00113191,0.00113191,0.00113191
23,1234.71,1.04599,0.9934,1.48087,0.81604,0.83255,0.86839,0.61461,0.70368,9.47772,1.12277,0.00111776,0.00111776,0.00111776
24,1286.45,1.04304,0.9744,1.4595,0.83026,0.80212,0.87187,0.6176,0.7007,17.7762,1.12213,0.00110362,0.00110362,0.00110362
25,1338.22,1.02931,0.94359,1.45819,0.81157,0.82009,0.85989,0.61282,0.69015,17.6662,1.10954,0.00108947,0.00108947,0.00108947
26,1389.63,1.03823,0.95843,1.46526,0.83587,0.8251,0.88058,0.62775,0.67378,6.66027,1.09511,0.00107532,0.00107532,0.00107532
27,1440.92,1.01649,0.93052,1.45114,0.80698,0.80589,0.85868,0.61266,0.69342,18.3656,1.11562,0.00106118,0.00106118,0.00106118
28,1492.9,1.03095,0.92997,1.45936,0.82559,0.82191,0.86794,0.59724,0.72315,18.1928,1.1568,0.00104703,0.00104703,0.00104703
29,1544.05,1.02202,0.92639,1.4555,0.81301,0.79823,0.85839,0.61515,0.69128,16.9719,1.10979,0.00103288,0.00103288,0.00103288
30,1595.25,1.01159,0.92022,1.44346,0.79361,0.82241,0.84816,0.62708,0.66219,35.2162,1.08503,0.00101873,0.00101873,0.00101873
31,1646.65,1.00442,0.90185,1.43345,0.83878,0.85441,0.89079,0.64374,0.66696,12.1858,1.08234,0.00100459,0.00100459,0.00100459
32,1697.72,1.01616,0.89668,1.43571,0.82039,0.79251,0.86497,0.63473,0.65506,10.3278,1.06559,0.00099044,0.00099044,0.00099044
33,1749.01,1.00535,0.88928,1.43279,0.85786,0.83486,0.88597,0.64016,0.66549,9.41506,1.09694,0.000976293,0.000976293,0.000976293
34,1800.35,0.98854,0.87159,1.41674,0.79815,0.84467,0.87414,0.63465,0.67759,21.6465,1.09201,0.000962146,0.000962146,0.000962146
35,1852.31,1.00259,0.87114,1.43828,0.85785,0.84153,0.89643,0.65283,0.66738,2.68915,1.08065,0.000947999,0.000947999,0.000947999
36,1903.7,0.99483,0.8829,1.42527,0.81747,0.86408,0.88642,0.65167,0.65919,16.4868,1.0667,0.000933851,0.000933851,0.000933851
37,1954.82,0.99837,0.87341,1.42094,0.85473,0.86154,0.90339,0.65573,0.66318,8.20158,1.06779,0.000919704,0.000919704,0.000919704
38,2006.25,1.00777,0.8718,1.43014,0.81619,0.8505,0.87688,0.63933,0.68209,17.7636,1.07794,0.000905557,0.000905557,0.000905557
39,2057.51,0.97658,0.84934,1.41355,0.87447,0.85452,0.91019,0.66824,0.64094,6.76026,1.04228,0.00089141,0.00089141,0.00089141
40,2108.68,0.96233,0.84851,1.40215,0.88002,0.84929,0.91562,0.6736,0.64795,6.95075,1.06019,0.000877263,0.000877263,0.000877263
41,2159.88,0.96571,0.82005,1.40885,0.87154,0.85571,0.9127,0.67198,0.64064,7.09057,1.05153,0.000863116,0.000863116,0.000863116
42,2211.01,0.97291,0.83773,1.39876,0.87319,0.86089,0.91249,0.67828,0.6301,6.02889,1.04342,0.000848969,0.000848969,0.000848969
43,2262.2,0.96733,0.82958,1.40358,0.8484,0.87451,0.90492,0.67293,0.63273,11.3085,1.04091,0.000834822,0.000834822,0.000834822
44,2313.69,0.96743,0.81439,1.40231,0.82453,0.86382,0.88559,0.6526,0.63912,18.1409,1.04095,0.000820675,0.000820675,0.000820675
45,2364.47,0.94412,0.81362,1.38864,0.87934,0.87616,0.91596,0.68509,0.62486,4.05127,1.02882,0.000806528,0.000806528,0.000806528
46,2415.97,0.97019,0.80673,1.39674,0.86826,0.87812,0.91678,0.68754,0.61646,7.642,1.02225,0.00079238,0.00079238,0.00079238
47,2467.27,0.96108,0.80399,1.39954,0.87575,0.88625,0.92402,0.69174,0.61725,9.17818,1.02006,0.000778233,0.000778233,0.000778233
48,2518.19,0.93847,0.78871,1.37842,0.87901,0.87329,0.92317,0.69151,0.61453,2.73037,1.02964,0.000764086,0.000764086,0.000764086
49,2569.47,0.95892,0.80776,1.40244,0.87386,0.86288,0.91598,0.68294,0.61468,6.95493,1.01721,0.000749939,0.000749939,0.000749939
50,2620.47,0.9524,0.80006,1.39268,0.85059,0.87395,0.91184,0.6919,0.60831,10.0641,1.00916,0.000735792,0.000735792,0.000735792
51,2671.58,0.94491,0.77628,1.38845,0.88722,0.88667,0.93251,0.69234,0.63327,6.96748,1.0322,0.000721645,0.000721645,0.000721645
52,2724.73,0.93124,0.76287,1.38659,0.85788,0.8874,0.92207,0.69421,0.61096,15.5258,1.01275,0.000707498,0.000707498,0.000707498
53,2777.44,0.9617,0.78491,1.3946,0.87916,0.90088,0.93394,0.69593,0.60977,6.97956,1.00835,0.000693351,0.000693351,0.000693351
54,2829.7,0.94187,0.76709,1.38599,0.88627,0.91288,0.93804,0.71053,0.5985,5.64125,0.99734,0.000679204,0.000679204,0.000679204
55,2881.81,0.92986,0.77615,1.37423,0.89538,0.88791,0.93045,0.7089,0.59654,9.36113,0.9995,0.000665057,0.000665057,0.000665057
56,2933.65,0.92395,0.7545,1.36932,0.89626,0.89729,0.93512,0.70987,0.59184,3.96032,0.99519,0.000650909,0.000650909,0.000650909
57,2985.63,0.93617,0.76072,1.37167,0.86414,0.89417,0.92523,0.6989,0.59738,7.27325,0.99522,0.000636762,0.000636762,0.000636762
58,3038.41,0.9134,0.74305,1.3597,0.90081,0.88494,0.93605,0.70533,0.59487,6.96766,0.99173,0.000622615,0.000622615,0.000622615
59,3090.47,0.91677,0.73742,1.3668,0.88023,0.89434,0.92852,0.70373,0.59584,10.9075,1.00493,0.000608468,0.000608468,0.000608468
60,3142.38,0.91089,0.72346,1.35869,0.88794,0.89273,0.93211,0.70608,0.59672,11.9905,0.99315,0.000594321,0.000594321,0.000594321
61,3194.51,0.90897,0.72384,1.35772,0.89243,0.90689,0.94011,0.71825,0.58742,9.42177,0.98663,0.000580174,0.000580174,0.000580174
62,3246.78,0.92553,0.73514,1.3664,0.88656,0.91541,0.93973,0.71734,0.58421,5.06912,0.99145,0.000566027,0.000566027,0.000566027
63,3298.59,0.92224,0.71932,1.3581,0.88922,0.91757,0.94236,0.72267,0.58205,6.6923,0.98084,0.00055188,0.00055188,0.00055188
64,3350.75,0.90473,0.72047,1.35853,0.89975,0.9009,0.94158,0.72363,0.57117,7.49138,0.97532,0.000537733,0.000537733,0.000537733
65,3403.47,0.90466,0.71997,1.35553,0.90681,0.9087,0.9479,0.73009,0.57003,3.31359,0.97525,0.000523586,0.000523586,0.000523586
66,3455.52,0.90342,0.72308,1.35484,0.89346,0.91995,0.94445,0.73127,0.56934,7.45542,0.96715,0.000509438,0.000509438,0.000509438
67,3507.9,0.89268,0.70892,1.34022,0.89356,0.90725,0.94211,0.72648,0.56298,8.78231,0.96673,0.000495291,0.000495291,0.000495291
68,3559.68,0.88938,0.69115,1.34167,0.8885,0.91188,0.94413,0.72581,0.57373,9.16882,0.97013,0.000481144,0.000481144,0.000481144
69,3612.5,0.89942,0.70991,1.35045,0.88977,0.92346,0.94293,0.7306,0.56431,6.89972,0.9647,0.000466997,0.000466997,0.000466997
70,3664.27,0.88957,0.69273,1.33949,0.90248,0.92409,0.95038,0.73749,0.56278,7.15508,0.96217,0.00045285,0.00045285,0.00045285
71,3715.27,0.88862,0.69105,1.34451,0.90451,0.913,0.94681,0.72705,0.56063,6.20916,0.95797,0.000438703,0.000438703,0.000438703
72,3767.08,0.88703,0.68576,1.33946,0.90694,0.91693,0.95297,0.73889,0.55951,7.15598,0.95293,0.000424556,0.000424556,0.000424556
